"light_bias","v_mean","Y","p_bite","r_scale","N1","N2","N3","N4","total"
0,0.8,0,0.2,0.25,0,0,8,2,10
0.25,0.8,0,0.2,0.25,0,0,8,4,12
0.5,0.8,0,0.2,0.25,0,1,7,3,11
0.75,0.8,0,0.2,0.25,0,1,9,1,11
1,0.8,0,0.2,0.25,0,0,0,18,18
0,1.2,0,0.2,0.25,0,0,8,4,12
0.25,1.2,0,0.2,0.25,0,1,9,1,11
0.5,1.2,0,0.2,0.25,0,1,3,4,8
0.75,1.2,0,0.2,0.25,0,1,5,6,12
1,1.2,0,0.2,0.25,0,0,0,0,0
0,1.6,0,0.2,0.25,2,0,5,2,9
0.25,1.6,0,0.2,0.25,0,1,1,4,6
0.5,1.6,0,0.2,0.25,0,1,8,2,11
0.75,1.6,0,0.2,0.25,0,0,8,4,12
1,1.6,0,0.2,0.25,0,0,0,0,0
0,0.8,1,0.2,0.25,0,0,5,4,9
0.25,0.8,1,0.2,0.25,1,0,8,3,12
0.5,0.8,1,0.2,0.25,0,0,13,1,14
0.75,0.8,1,0.2,0.25,0,1,5,2,8
1,0.8,1,0.2,0.25,0,0,0,0,0
0,1.2,1,0.2,0.25,0,0,6,0,6
0.25,1.2,1,0.2,0.25,0,1,4,4,9
0.5,1.2,1,0.2,0.25,0,1,8,1,10
0.75,1.2,1,0.2,0.25,0,0,8,3,11
1,1.2,1,0.2,0.25,0,0,0,0,0
0,1.6,1,0.2,0.25,1,0,4,3,8
0.25,1.6,1,0.2,0.25,0,1,3,3,7
0.5,1.6,1,0.2,0.25,0,1,11,1,13
0.75,1.6,1,0.2,0.25,0,0,6,4,10
1,1.6,1,0.2,0.25,0,0,0,0,0
0,0.8,2,0.2,0.25,0,1,24,1,26
0.25,0.8,2,0.2,0.25,0,0,11,3,14
0.5,0.8,2,0.2,0.25,0,0,8,2,10
0.75,0.8,2,0.2,0.25,0,0,13,2,15
1,0.8,2,0.2,0.25,0,0,0,0,0
0,1.2,2,0.2,0.25,1,1,3,5,10
0.25,1.2,2,0.2,0.25,0,0,13,1,14
0.5,1.2,2,0.2,0.25,0,1,5,3,9
0.75,1.2,2,0.2,0.25,0,1,9,4,14
1,1.2,2,0.2,0.25,0,0,0,0,0
0,1.6,2,0.2,0.25,1,0,5,0,6
0.25,1.6,2,0.2,0.25,0,0,8,5,13
0.5,1.6,2,0.2,0.25,0,0,6,1,7
0.75,1.6,2,0.2,0.25,0,0,6,2,8
1,1.6,2,0.2,0.25,0,0,0,0,0
0,0.8,3,0.2,0.25,0,0,9,3,12
0.25,0.8,3,0.2,0.25,0,1,9,2,12
0.5,0.8,3,0.2,0.25,0,1,10,2,13
0.75,0.8,3,0.2,0.25,0,0,10,3,13
1,0.8,3,0.2,0.25,0,0,0,0,0
0,1.2,3,0.2,0.25,0,1,9,3,13
0.25,1.2,3,0.2,0.25,0,2,7,5,14
0.5,1.2,3,0.2,0.25,0,0,3,3,6
0.75,1.2,3,0.2,0.25,0,1,4,3,8
1,1.2,3,0.2,0.25,0,0,0,0,0
0,1.6,3,0.2,0.25,1,0,7,1,9
0.25,1.6,3,0.2,0.25,0,1,9,1,11
0.5,1.6,3,0.2,0.25,0,1,3,3,7
0.75,1.6,3,0.2,0.25,0,0,6,2,8
1,1.6,3,0.2,0.25,0,0,0,0,0
0,0.8,0,0.35,0.25,0,1,18,4,23
0.25,0.8,0,0.35,0.25,0,0,9,1,10
0.5,0.8,0,0.35,0.25,0,0,16,5,21
0.75,0.8,0,0.35,0.25,0,0,15,1,16
1,0.8,0,0.35,0.25,0,0,0,0,0
0,1.2,0,0.35,0.25,0,0,12,4,16
0.25,1.2,0,0.35,0.25,0,1,7,8,16
0.5,1.2,0,0.35,0.25,0,0,16,6,22
0.75,1.2,0,0.35,0.25,0,6,14,5,25
1,1.2,0,0.35,0.25,0,0,0,0,0
0,1.6,0,0.35,0.25,1,1,12,3,17
0.25,1.6,0,0.35,0.25,0,2,10,3,15
0.5,1.6,0,0.35,0.25,0,2,12,7,21
0.75,1.6,0,0.35,0.25,0,1,18,5,24
1,1.6,0,0.35,0.25,0,0,0,0,0
0,0.8,1,0.35,0.25,1,0,20,3,24
0.25,0.8,1,0.35,0.25,0,0,18,8,26
0.5,0.8,1,0.35,0.25,0,0,13,8,21
0.75,0.8,1,0.35,0.25,0,0,17,3,20
1,0.8,1,0.35,0.25,0,0,0,0,0
